year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1976,14/08/1976,227,1975,15-Apr,4,sugar,alive,1,396,1974,15/7/1975,105,0,0,318,1976,21,2039,6180.51,5545.41,4810.29,148.738,2760.06,,21137.572,8455.028,84.994,19.925,78.448,78.448,2.106,9073.6,9075.705,140527.105,0.744,31,6200,1989.1,833.375,5925.496,710.693,1039.085,373.327,1412.412,85.542,9076.092,1.371,9077.464,140623.19,200,231.879,294.199,32.51,0.134,11.817,6.142,6773.305,350,0.894,3210.5,11.8,1284.2,0,0,17.81,28.163,18.823,179.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8189.1,6910.693,6758.871,7132.198,44.461,11.951,2.15228776621968,0.105307799707168,2.23666165413534,0.74369,27.601,999
1977,14/09/1977,257,1976,15-Apr,4,sugar,alive,2,396,1974,14/8/1976,105,0,0,318,1977,21,2039,6659.44,5983.58,5209.9,160.725,2981.75,,14375.755,5750.303,57.006,19.919,96.265,96.265,1.371,9076.092,9077.464,140623.19,0.744,36,7200,1380,819.667,6318.455,533.904,1124.532,338.978,1463.509,60.357,9063.915,1.401,9065.316,140388.389,200,221.467,306.82,47.361,0.191,21.905,8.875,6702.182,350,0.947,4193.9,15.4,1677.6,0,0,17.722,28.369,19.544,170.6,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8580,7733.904,7138.122,7477.1,69.457,22.096,2.0781871613612,0.109821668332754,2.10098039215686,0.803625,29.817,999
1978,14/10/1978,287,1977,15-Apr,4,sugar,alive,3,395,1974,14/9/1977,105,0,0,318,1978,21,2039,6929.24,6180.79,5463.1,168.248,3324,,15885.989,6354.396,64.243,21.401,74.634,74.634,1.401,9063.915,9065.316,140388.389,0.739,40,8000,953.7,850.751,6568.765,432.903,1190.351,330.062,1520.414,59.736,9057.876,1.469,9059.345,140174.903,200,227.892,306.235,39.593,0.365,20.635,7.42,7017.782,350,0.952,4335.7,15.9,1734.3,0,0,17.755,28.363,20.718,150.6,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8953.7,8432.903,7419.516,7749.578,60.593,21,1.99513738033036,0.11065933357625,1.99110059171598,0.84124,33.24,999
1979,14/11/1979,318,1978,15-Apr,4,sugar,alive,4,396,1974,14/10/1978,105,0,0,318,1979,21,2039,6787.84,6058.76,5263.11,162.661,3146.63,,16147.504,6459.001,64.305,20.894,88.404,88.404,1.469,9057.876,9059.345,140174.903,0.734,39,7800,1489.5,805.658,7021.223,493.102,1141.895,338.459,1480.354,53.575,9045.945,1.815,9047.76,139751.317,200,225.055,309.533,43.882,0.194,23.363,8.146,7093.369,350,0.922,3636.3,13.3,1454.5,0,0,18.32,28.53,19.539,350.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,9289.5,8293.102,7826.881,8165.34,67.439,23.557,1.96140117413243,0.109879799021045,1.97164848484848,0.813305,31.466,999
1980,14/04/1980,105,0,15-Apr,4,none,out,-1,0,1974,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,16051.105,6420.442,65.864,0,70.668,70.668,1.815,9045.945,9047.76,139751.317,0.73,0,0,636.1,23.639,305.204,326.365,0,231.021,231.021,14.365,9137.366,8.142,9145.508,141858.445,0,0,10.187,0.377,0.034,0.291,0.036,4260.114,350,0,0.6,0,0.2,0,0,22.487,31.511,22.411,86.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,636.1,326.365,328.843,559.864,0.702,0.325,0,0,0,,0,999
1981,14/07/1981,195,1980,15-Apr,5,sugar,alive,0,456,1980,14/4/1980,105,0,0,318,1981,21,2039,9031.5,8156.58,7165.69,222.915,3790.54,,0,0,0,18.015,146.905,146.905,8.142,9137.366,9145.508,141858.445,0.731,39,7800,1226.2,585.635,6631.791,552.754,1487.002,390.227,1877.229,136.737,8987.521,1.876,8989.397,137695.878,200,312.714,387.173,37.019,0.252,47.601,7.324,7675.182,350,0.981,5654.8,20.7,2261.9,0,0,17.555,28.055,18.773,104.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,9026.2,8352.754,7217.426,7607.653,84.872,47.853,2.66876050701361,0.118746833764021,2.702,1.114575,37.905,999
1982,14/08/1982,226,1981,15-Apr,5,sugar,alive,1,396,1980,14/7/1981,105,0,0,318,1982,21,2039,6458.65,5752.25,5057.79,155.691,3034.64,,20665.997,8266.4,83.87,21.074,78.45,78.45,1.876,8987.521,8989.397,137695.878,0.72,36,7200,604.4,462.515,5768.39,347.087,1213.827,364.358,1578.185,67.075,8976.829,1.309,8978.138,136974.752,200,249.043,307.311,28.574,0.208,12.045,5.543,7569.449,350,0.933,3865.5,14.2,1546.2,0,0,17.532,28.965,19.448,47.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,7804.4,7547.087,6230.905,6595.263,40.827,12.253,2.06292838548171,0.0986519324413805,2.03517647058824,0.778455,30.346,999
1983,14/09/1983,257,1982,15-Apr,5,sugar,alive,2,396,1980,14/8/1982,105,0,0,318,1983,21,2039,6320.19,5610.52,4972.19,152.648,2888.21,,15192.985,6077.194,60.162,20.373,73.76,73.76,1.309,8976.829,8978.138,136974.752,0.719,40,8000,637.3,1015.319,6126.98,347.483,1125.104,365.498,1490.602,60.179,8971.21,1.437,8972.647,136190.107,200,218.137,304.494,46.387,0.647,20.109,8.712,7328.353,350,0.941,4040.9,14.8,1616.4,0,0,17.915,28.646,19.857,95.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8637.3,8347.483,7142.299,7507.797,67.143,20.756,1.82867098980615,0.102406946991887,1.80648520710059,0.76324,28.882,999
1984,13/10/1984,287,1983,15-Apr,5,sugar,alive,3,395,1980,14/9/1983,105,0,0,318,1984,21,2039,6909.66,6191.25,5369.67,165.933,3215.68,,14892.797,5957.119,58.484,20.937,78.158,78.158,1.437,8971.21,8972.647,136190.107,0.714,41,8200,624.6,716.647,6552.503,399.833,1222.94,325.933,1548.873,59.973,8956.063,1.92,8957.983,135127.349,200,225.982,310.722,46.32,0.343,21.858,8.599,7630.385,350,0.929,3785.8,13.9,1514.3,0,0,17.81,28.719,19.464,75.6,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8824.6,8599.833,7269.15,7595.083,68.521,22.201,1.92949095639415,0.107131443313945,1.91830057803468,0.829665,32.157,999
1985,13/11/1985,317,1984,15-Apr,5,sugar,alive,4,396,1980,13/10/1984,105,0,0,318,1985,21,2039,7198.6,6512.2,5651.48,175.871,3358.05,,16307.767,6523.106,65.587,20.585,84.736,84.736,1.92,8956.063,8957.983,135127.349,0.71,39,7800,872.5,605.86,6411.837,497.003,1280.618,337.235,1617.853,49.178,8936.792,2.088,8938.88,134137.245,200,233.281,317.83,44.911,0.366,23.006,8.333,7804.004,350,0.918,3570.4,13.1,1428.1,0,0,17.761,28.762,19.57,111.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8672.5,8297.003,7017.697,7354.932,68.283,23.372,2.11969309882135,0.108706415230556,2.1317696969697,0.879355,33.58,999
