year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1976,14/08/1976,227,1975,15-Apr,4,sugar,alive,1,396,1974,15/7/1975,105,0,0,318,1976,21,2039,5949.49,5340.95,4618.77,142.821,2668.72,,0,0,0,20.084,64.868,64.868,1.842,9799.546,9801.388,159296.104,0.965,16,1760,1989.1,866.915,1828.552,688.256,994.121,45.291,1039.412,0.137,9898.082,1.336,9899.418,160057.479,200,222.821,366.222,40.56,0.019,2.849,8.194,12832.628,350,0.938,3968.3,16,1587.3,0,0,17.81,28.163,18.823,179.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3749.1,2448.256,2695.467,2740.758,43.428,2.868,5.83358112877085,0.137405571611642,6.46248868778281,0.714105,26.687,999
1977,14/09/1977,257,1976,15-Apr,4,sugar,alive,2,396,1974,14/8/1976,105,0,0,318,1977,21,2039,7029.26,6346.87,5477.19,169.485,3035.35,,0,0,0,19.128,79.089,79.089,1.336,9898.082,9899.418,160057.479,0.986,18,1980,1380,304.594,1770.658,551.677,1149.467,141.223,1290.69,2.489,9883.506,1.241,9884.747,159669.536,200,324.532,449.752,25.414,0.011,7.174,5.417,13046.194,350,0.899,3279.2,12.1,1311.7,0,0,17.722,28.369,19.544,170.6,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3360,2531.677,2075.252,2216.475,32.599,7.185,6.69457438685899,0.131313483485577,6.97469135802469,0.847425,30.354,999
1978,14/10/1978,287,1977,15-Apr,4,sugar,alive,3,395,1974,14/9/1977,105,0,0,318,1978,21,2039,7401.6,6672.2,5830.25,180.759,3516.61,,0,0,0,21.029,73.148,73.148,1.241,9883.506,9884.747,159669.536,0.986,19,2090,953.7,214.225,1475.516,541.789,1225.827,127.555,1353.382,1.161,9913.555,1.325,9914.88,159542.225,200,300.296,435.199,26.083,0.009,5.996,5.512,13920.571,350,0.883,3064.9,11.4,1226,0,0,17.755,28.363,20.718,150.6,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3043.7,2631.789,1689.741,1817.296,32.088,6.005,6.86829377279106,0.133560960615702,7.11649606299213,0.903795,35.166,999
1979,14/11/1979,318,1978,15-Apr,4,sugar,alive,4,396,1974,14/10/1978,105,0,0,318,1979,21,2039,6748.98,6057.3,5225.34,162.022,3175.62,,0,0,0,21.208,73.725,73.725,1.325,9913.555,9914.88,159542.225,0.993,19,2090,1489.5,506.295,1841.518,512.325,1112.141,130.39,1242.531,1.181,9940.303,1.675,9941.978,159095.79,200,282.957,424.423,42.543,0.022,4.139,8.346,13891.807,350,0.853,2742,10.2,1096.8,0,0,18.32,28.53,19.539,350.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3579.5,2602.325,2347.813,2478.203,46.704,4.161,6.22604786104733,0.130396746640526,6.37881889763779,0.81011,31.756,999
1980,16/04/1980,107,0,15-Apr,4,none,out,-1,0,1974,0.000,107,2,0,320,-1,20,2039,0,0,0,0,0,,0,0,0,0,62.882,62.882,1.675,9940.303,9941.978,159095.79,0.999,0,0,636.1,252.318,245.461,305.593,0,20.156,20.156,0,10087.135,4.293,10091.428,161467.036,0,0,74.048,1.032,0.049,0.246,0.182,7237.587,350,0.995,7498.3,33,2999.3,0,0,22.444,31.488,22.369,86.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,636.1,305.593,497.779,517.935,1.327,0.295,0,0,0,,0,999
1981,16/07/1981,197,1980,15-Apr,5,sugar,alive,0,456,1980,16/4/1980,107,2,0,320,1981,19,2039,8413.36,7563.79,6603.15,204.584,3559.16,,0,0,0,18.498,181.047,181.047,4.293,10087.135,10091.428,161467.036,1.011,19,2090,1226.2,414.652,1386.229,670.322,1332.331,292.038,1624.37,3.329,9847.302,2.642,9849.944,156153.745,200,467.315,530.604,42.31,0.053,12.281,8.483,12542.124,350,0.902,3314.6,12.2,1325.8,0,0,17.517,28.03,18.763,104.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3316.2,2760.322,1800.881,2092.919,54.644,12.334,7.41159908155643,0.125946674710811,8.05448818897638,1.02292,35.592,999
1982,16/08/1982,228,1981,15-Apr,5,sugar,alive,1,396,1980,16/7/1981,107,2,0,320,1982,19,2039,7214.05,6468.71,5598.07,172.922,3315.95,,0,0,0,20.686,71.998,71.998,2.642,9847.302,9849.944,156153.745,0.987,19,2090,604.4,152.408,1151.873,450.035,1303.909,91.753,1395.662,0.746,9891.046,1.476,9892.522,156563.256,200,307.741,448.556,28.387,0.03,3.452,5.966,13806.222,350,0.91,3437.1,13.1,1374.9,0,0,17.543,28.982,19.461,47.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2694.4,2540.035,1304.281,1396.034,31.869,3.482,6.80785894682554,0.123899626127243,6.80795275590551,0.86461,33.16,999
1983,16/09/1983,259,1982,15-Apr,5,sugar,alive,2,396,1980,16/8/1982,107,2,0,320,1983,19,2039,7066.05,6337.51,5514.3,170.289,3109.31,,0,0,0,19.559,66.454,66.454,1.476,9891.046,9892.522,156563.256,1.006,20,2200,637.3,222.695,1290.414,379.361,1196.814,121.543,1318.357,1.385,9903.449,1.243,9904.693,157086.27,200,321.091,455.358,25.911,0.024,5.511,5.559,13545.072,350,0.883,3071.2,11.4,1228.5,0,0,17.947,28.664,19.864,95.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2837.3,2579.361,1513.109,1634.652,31.446,5.535,6.60198397975313,0.129167592693026,6.426,0.851445,31.093,999
1984,15/10/1984,289,1983,15-Apr,5,sugar,alive,3,395,1980,16/9/1983,107,2,0,320,1984,19,2039,7174.84,6491.18,5550.34,172.483,3319.55,,0,0,0,20.772,72.289,72.289,1.243,9903.449,9904.693,157086.27,1.011,22,2420,624.6,264.656,1400.204,464.48,1225.506,147.713,1373.219,1.662,9906.453,3.028,9909.481,157473.633,200,321.022,462.185,30.017,0.029,5.483,6.14,13349.238,350,0.813,2393.5,8.8,957.4,0,0,17.799,28.707,19.486,75.6,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3044.6,2884.48,1664.86,1812.573,35.529,5.512,5.97969131351231,0.125604874386387,6.0098606271777,0.862415,33.196,999
1985,15/11/1985,319,1984,15-Apr,5,sugar,alive,4,396,1980,15/10/1984,107,2,0,320,1985,19,2039,7290.7,6635.52,5688.45,177.636,3389.81,,0,0,0,20.572,78.81,78.81,3.028,9906.453,9909.481,157473.633,1.013,21,2310,872.5,252.545,1498.041,565.134,1256.602,152.789,1409.391,1.846,9916.551,3.196,9919.747,157868.48,200,309.981,460.561,37.718,0.034,6.128,7.649,13410.377,350,0.769,2096,7.8,838.4,0,0,17.778,28.771,19.556,111.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3182.5,2875.134,1750.586,1903.375,43.88,6.162,6.17835551316913,0.126037416160597,6.43608695652174,0.88818,33.898,999
